
################################################################################
Running scenario=G0 N_ANGLES=360, K=4
view   0 | SOD= 570.548 mm | SDD= 675.501 mm | M= 1.184 | incident=3.8197°
[[  98.97946    -561.3404      -25.        ]
 [ -18.05941     102.420006     20.        ]
 [   0.14732724    0.02597777    0.        ]
 [   0.            0.            0.1496    ]]
            image          x1         y1  area1          x2          y2  area2          x3          y3  area3          x4          y4  area4
178  proj_178.png  442.500000  63.418462    650  531.292857  205.577143    700  404.535112  354.223315    712  442.510703  477.262997    654
179  proj_179.png  444.904762  63.334869    651  531.012968  205.576369    694  402.580282  354.111268    710  444.887023  477.227481    655
180  proj_180.png  447.333844  63.405819    653  530.790531  205.604017    697  400.726629  353.992918    706  447.264036  477.141123    659
181  proj_181.png  449.704441  63.387443    653  530.446839  205.685345    696  398.795745  353.855319    705  449.763720  477.092988    656
182  proj_182.png  452.057011  63.343606    649  530.120344  205.690544    698  396.929279  353.762376    707  452.104704  477.063733    659
183  proj_183.png  454.584356  63.363497    652  529.757880  205.703438    698  395.171875  353.654830    704  454.585997  477.038052    657
184  proj_184.png  457.000000  63.374613    646  529.439828  205.769341    698  393.315417  353.612447    707  456.967939  477.009160    655
185  proj_185.png  459.378254  63.405819    653  529.117647  205.738881    697  391.534752  353.544681    705  459.359636  476.992413    659
186  proj_186.png  461.882083  63.341501    653  528.624286  205.795714    700  389.798009  353.436700    703  461.892424  476.974242    660
187  proj_187.png  464.256449  63.374810    659  528.354885  205.839080    696  388.139403  353.395448    703  464.236006  476.933434    661
