K,N_ANGLES,G0_sum,G0_dtheta,G0_cost,G0_it,G1_sum,G1_dtheta,G1_cost,G1_it,G2_sum,G2_dtheta,G2_cost,G2_it,G3_sum,G3_dtheta,G3_cost,G3_it,G4_sum,G4_dtheta,G4_cost,G4_it
2,45,14.849,0.000051,421.964425,37,0.025,0.000000,0.030247,51,0.028,0.000001,0.032639,76,12.982,0.000032,232.746971,82,0.066,0.000000,0.050552,40
2,40,0.045,0.000001,0.031344,50,0.018,0.000001,0.043792,59,9.835,0.000034,120.070615,55,18.556,0.000029,475.971572,47,0.022,0.000000,0.018916,32
7,40,0.017,0.000001,0.346024,42,0.009,0.000000,0.495695,37,-0.023,0.000001,0.363794,59,0.019,0.000001,0.689956,61,0.022,0.000001,0.299352,35
7,45,0.016,0.000001,0.273521,39,0.015,0.000001,0.347418,43,0.010,0.000001,0.090218,51,0.019,0.000001,0.538660,63,-0.006,0.000001,0.303605,34
7,120,-0.005,0.000000,0.902655,52,0.008,0.000002,0.586572,44,-0.006,0.000003,0.518391,64,-0.010,0.000002,1.232002,62,-0.005,0.000001,0.958543,39
7,360,-0.003,0.000001,0.331246,59,-0.003,0.000003,2.816639,46,0.006,0.000002,1.039271,64,0.000,0.000002,3.386551,70,-0.005,0.000002,1.578317,49
1,60,0.222,0.000000,0.001238,35,0.342,0.000000,0.022849,44,0.249,0.000001,0.028444,30,0.637,0.000001,0.068891,32,0.128,0.000000,0.024939,36
1,72,0.106,0.000000,0.017930,38,0.355,0.000000,0.031329,31,0.217,0.000001,0.029176,32,0.278,0.000001,0.050423,33,0.908,0.000001,0.132776,31
1,72,0.106,0.000000,0.017930,38,0.355,0.000000,0.031329,31,0.217,0.000001,0.029176,32,0.278,0.000001,0.050423,33,0.908,0.000001,0.132776,31
2,60,0.012,0.000001,0.028633,54,-0.009,0.000001,0.026607,48,0.026,0.000001,0.033172,62,18.944,0.000078,695.076731,63,0.028,0.000000,0.038927,31
4,60,-0.004,0.000001,0.106560,47,-0.010,0.000000,0.097590,53,-0.000,0.000000,0.076866,61,0.025,0.000001,0.170151,65,0.007,0.000000,0.197405,38
3,60,0.008,0.000001,0.116599,51,-0.015,0.000000,0.063208,44,0.010,0.000000,0.071412,61,0.024,0.000001,0.109297,73,0.010,0.000001,0.094482,42
6,60,0.005,0.000001,0.308268,52,0.024,0.000001,0.419902,42,-0.010,0.000000,0.224400,59,0.052,0.000002,0.582459,67,0.027,0.000001,0.333588,32
6,72,0.011,0.000001,0.352200,51,-0.003,0.000001,0.233879,43,0.016,0.000001,0.386355,61,-0.004,0.000001,0.233045,67,-0.007,0.000001,0.394171,35
5,60,0.005,0.000002,0.276545,55,-0.015,0.000000,0.220389,40,-0.005,0.000001,0.160380,57,0.001,0.000001,0.404755,69,-0.024,0.000000,0.251301,35
7,60,0.000,0.000002,0.362262,48,0.038,0.000001,0.421455,39,-0.006,0.000001,0.050159,57,-0.019,0.000001,0.670718,57,0.013,0.000001,0.294124,42
1,72,0.106,0.000000,0.017930,38,0.355,0.000000,0.031329,31,0.217,0.000001,0.029176,32,0.278,0.000001,0.050423,33,0.908,0.000001,0.132776,31
1,90,0.291,0.000001,0.020012,41,0.164,0.000001,0.033510,36,0.113,0.000000,0.018677,36,0.208,0.000001,0.037014,34,0.074,0.000001,0.044227,39
3,90,0.023,0.000001,0.117530,49,0.012,0.000001,0.134039,49,-0.012,0.000001,0.180373,50,0.001,0.000000,0.075196,74,0.007,0.000001,0.128371,35
5,90,-0.004,0.000000,0.245348,44,0.015,0.000001,0.504774,47,0.001,0.000001,0.476052,57,-0.008,0.000001,0.342948,67,0.011,0.000001,0.528366,41
4,72,0.008,0.000000,0.223890,47,0.020,0.000001,0.151647,44,-0.003,0.000001,0.156053,63,-0.007,0.000000,0.081404,69,-0.008,0.000001,0.068675,35
2,72,0.004,0.000001,0.081251,65,-0.005,0.000001,0.058672,48,0.011,0.000001,0.040704,56,15.285,0.000045,558.177353,56,0.004,0.000001,0.032594,47
6,72,0.011,0.000001,0.352200,51,-0.003,0.000001,0.233879,43,0.016,0.000001,0.386355,61,-0.004,0.000001,0.233045,67,-0.007,0.000001,0.394171,35
6,90,0.011,0.000000,0.323660,56,-0.007,0.000001,0.266439,46,-0.007,0.000001,0.326293,61,0.003,0.000001,0.498987,61,0.016,0.000001,0.419422,38
2,90,0.013,0.000000,0.055965,60,0.009,0.000000,0.067556,58,0.027,0.000001,0.080788,64,0.006,0.000001,0.025249,74,0.026,0.000000,0.083621,42
5,72,0.011,0.000000,0.322623,51,-0.014,0.000000,0.165546,46,0.009,0.000001,0.273599,49,-0.012,0.000001,0.259434,72,-0.005,0.000001,0.298499,41
3,72,0.018,0.000001,0.121849,51,-0.002,0.000000,0.089620,47,0.016,0.000001,0.107070,59,0.013,0.000000,0.095274,66,0.008,0.000001,0.208710,45
